"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
DE,28,0,0,0,0,0,0,"7,780",26,387,"8,221",
FL,"1,382",247,815,41,117,278,4,45,1,220,"3,150",
GA,"4,387",389,"2,312",437,"5,155",620,0,"1,231",2,476,"15,009",
HI,6,13,42,0,0,0,0,8,0,0,69,
IA,"4,003",154,284,952,"9,748",13,664,364,524,661,"17,367",
ID,83,5,8,36,0,0,2,43,0,83,260,
IL,"4,796",719,"2,040",619,4,95,474,934,459,352,"10,492",
IN,"3,411",375,692,6,545,67,114,148,8,71,"5,437",
KS,"1,145",622,"1,301",79,80,103,48,155,64,219,"3,816",
KY,139,21,14,0,40,0,54,0,0,23,291,
LA,167,8,24,0,0,"1,277",0,29,0,70,"1,575",
MA,"6,178",2,886,"15,067","4,160","4,108","3,595","9,112",228,716,"44,052",
MD,"10,289",0,426,"2,863","1,839","3,850",51,"1,955",63,199,"21,535",
ME,"1,175",36,0,0,0,0,0,117,4,102,"1,434",
MI,"2,787",267,"3,985","7,154",395,"2,482",720,"4,722",112,419,"23,043",
MN,"3,009","2,055","1,799","26,754",41,21,247,"5,359",654,"1,141","41,080",
MO,954,"1,418","1,690","5,102",509,39,980,805,8,92,"11,597",
MS,25,14,71,91,16,14,4,55,1,5,296,
MT,114,0,0,2,189,0,0,0,0,55,360,
NC,"1,419",324,873,"8,159",45,212,234,"2,066",46,115,"13,493",
ND,103,83,62,1,3,0,6,0,165,194,617,
NE,402,25,36,2,239,39,2,14,10,0,769,
NH,0,0,2,0,0,0,0,1,0,0,3,
NJ,6,300,"3,139","8,224","6,054","3,463",111,"5,894",0,0,"27,191",
NM,82,40,69,34,43,101,25,4,0,0,398,
NV,"1,363",14,84,53,0,0,7,30,30,356,"1,937",
NY,"5,803","1,080","1,890","7,834","19,252","1,433",19,"1,095",127,375,"38,908",
OH,"1,097","1,379","4,054","28,827",607,"1,461",282,"10,778",0,112,"48,597",
OK,"1,305",111,394,470,8,0,1,14,8,424,"2,735",
OR,"1,252",155,428,27,14,"1,472",18,0,299,"1,276","4,941",
PA,"1,359","1,237","2,224","1,198",475,687,399,"12,854",387,"1,350","22,170",
PR,0,0,0,0,0,"3,890",0,0,0,0,"3,890",
RI,44,0,0,0,5,6,9,4,3,0,71,
SC,"2,456",35,78,150,20,13,6,128,0,73,"2,959",
SD,377,13,27,6,24,0,0,5,11,91,554,
TN,858,64,206,0,88,0,51,14,19,91,"1,391",
TX,"8,627",307,"1,120","3,465",932,"1,600",184,"7,584",338,"2,759","26,916",
UT,"1,083",379,432,"1,706",265,1,5,437,88,128,"4,524",
VA,"1,387",2,7,100,272,36,271,58,81,58,"2,272",
VT,191,0,0,140,0,0,0,4,622,5,962,
WA,"14,650",324,579,"3,494",1,"1,623",109,811,11,201,"21,803",
WI,"2,661",115,"4,069","2,412","1,668","5,484",239,"12,975",67,251,"29,941",
WV,10,20,18,9,6,0,0,18,0,0,81,
WY,59,0,0,4,2,0,0,7,40,28,140,
"REPORTTOTAL","114,396","13,257","39,141","135,475","55,683","35,416","9,723","109,560","4,832","25,153","542,636",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,316,0,0,0,0,0,0,0,0,0,316,
AL,202,134,538,12,18,44,475,580,36,51,"2,090",
AR,13,5,61,130,1,36,832,226,0,297,"1,601",
AZ,408,51,270,29,93,30,495,102,38,4,"1,520",
CA,"7,289",655,"1,583","4,615","2,581","3,736","4,063","11,374","1,899",437,"38,232",
CO,693,137,188,328,168,0,578,346,596,90,"3,124",
CT,420,0,195,78,16,77,461,147,28,0,"1,422",
DC,533,3,12,41,120,93,677,154,53,0,"1,686",
DE,0,0,0,10,0,0,10,922,0,21,963,
FL,"1,144",270,310,204,243,209,"1,514",379,214,8,"4,495",
GA,"1,934",269,231,838,"3,237","2,235","1,079",549,103,111,"10,586",
HI,0,0,9,0,0,0,101,0,0,0,110,
IA,126,410,834,416,741,10,648,"2,388",81,52,"5,706",
ID,77,41,111,0,0,0,0,6,0,0,235,
IL,522,379,"1,495","1,461","2,074",524,955,"1,663",136,279,"9,488",
IN,196,155,437,113,429,52,645,655,186,35,"2,903",
KS,138,53,375,"1,140",12,90,314,33,0,93,"2,248",
KY,240,77,288,31,134,107,383,143,31,4,"1,438",
LA,714,95,423,7,72,"1,590",38,420,0,155,"3,514",
MA,"2,106",55,433,"5,493","1,984","1,883","3,282","7,356",284,342,"23,218",
MD,"12,596",6,498,"3,855","1,556","3,503","1,821","1,608",267,197,"25,907",
ME,24,340,52,0,0,0,15,6,0,0,437,
MI,"1,672",91,744,995,790,"1,111","1,719","1,607",435,2,"9,166",
MN,281,"1,440","2,288","1,070",429,179,"3,012","3,511",608,305,"13,123",
MO,165,422,"1,020","2,868","3,452",125,841,"3,938",130,22,"12,983",
MS,28,6,79,210,0,49,215,454,24,3,"1,068",
MT,1,0,0,36,82,4,0,17,31,0,171,
NC,557,750,"1,262",753,875,"1,506","1,608",553,151,"4,392","12,407",
ND,4,56,32,0,0,0,21,0,0,7,120,
NE,"1,871",78,82,15,"1,033",50,176,146,0,280,"3,731",
NH,659,0,0,0,902,6,96,0,0,0,"1,663",
NJ,491,30,940,"4,523","3,532","1,372",681,"2,933",21,0,"14,523",
NM,86,0,350,89,0,540,12,253,0,0,"1,330",
NV,219,12,381,8,0,0,89,0,0,0,709,
NY,"2,551",697,"1,630","1,365","3,817",545,"1,279","5,670",241,115,"17,910",
OH,"2,356",799,"2,115",931,"1,324",290,"2,743","2,733",194,151,"13,636",
OK,325,60,351,192,0,95,24,101,49,96,"1,293",
OR,248,86,220,568,11,"1,882",422,277,146,90,"3,950",
PA,"1,008",496,"1,157","1,865",428,998,"1,692","7,763",278,148,"15,833",
PR,30,0,0,0,70,220,26,23,0,0,369,
RI,125,0,0,0,343,34,82,648,44,0,"1,276",
SC,12,206,227,160,0,131,317,112,4,0,"1,169",
SD,231,0,0,0,0,5,0,0,68,66,370,
TN,774,64,368,138,572,285,"1,659",508,2,74,"4,444",
TX,"1,970",109,628,"7,522","1,958","1,789","3,151","7,590",223,"2,632","27,572",
UT,0,136,349,30,35,0,188,"1,129",306,64,"2,237",
VA,448,52,227,36,4,57,"3,904",421,5,213,"5,367",
VT,1,9,9,0,0,0,34,0,950,0,"1,003",
WA,518,105,305,289,95,456,"1,670",269,0,157,"3,864",
WI,"1,581",219,"1,452","1,133","1,982","1,866",538,"2,300",143,147,"11,361",
WV,0,36,22,0,2,0,0,24,73,0,157,
WY,63,30,42,0,0,0,0,0,29,7,171,
"REPORTTOTAL","47,966","9,124","24,623","43,597","35,215","27,814","44,585","72,037","8,107","11,147","324,215",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,0,0,0,0,0,0,0,0,0,0,0,
AL,5,0,0,83,0,38,0,38,0,0,164,
AR,0,0,0,0,0,0,0,0,0,0,0,
AZ,3,0,0,0,0,0,0,0,0,0,3,
CA,663,0,17,273,550,65,0,369,0,0,"1,937",
CO,179,104,7,783,311,0,0,0,9,0,"1,393",
CT,2,0,99,0,321,14,0,0,0,0,436,
DC,209,0,0,207,0,0,0,0,0,0,416,
DE,0,0,0,0,0,0,0,0,0,0,0,
FL,26,0,10,38,0,8,0,30,0,0,112,
GA,378,5,24,34,"1,828",18,18,"1,381",0,31,"3,717",
HI,0,0,0,0,0,0,0,0,0,0,0,
IA,0,0,1,119,"8,024",0,0,2,0,0,"8,146",
ID,7,0,0,0,0,0,0,0,72,0,79,
IL,142,12,3,44,10,0,119,128,0,0,458,
IN,12,0,0,0,0,0,0,0,0,0,12,
KS,0,0,11,0,0,6,0,0,0,0,17,
KY,12,0,0,0,0,0,0,0,0,0,12,
LA,0,0,0,0,0,2,0,27,0,0,29,
MA,313,0,0,285,418,22,73,189,0,0,"1,300",
MD,163,0,10,"6,703",656,404,160,324,0,163,"8,583",
ME,0,0,0,0,0,0,0,0,0,0,0,
MI,36,0,1,"9,680",0,80,28,0,243,0,"10,068",
MN,43,0,0,234,28,3,0,59,0,0,367,
MO,23,22,172,0,"24,282",0,0,0,0,0,"24,499",
MS,0,0,0,0,0,0,0,2,0,0,2,
MT,0,0,0,0,0,0,0,15,0,0,15,
NC,0,0,6,454,0,0,0,0,0,0,460,
ND,0,0,0,0,0,0,0,0,0,0,0,
NE,19,0,0,0,0,0,0,15,0,0,34,
NH,0,0,0,0,0,0,0,0,0,0,0,
NJ,6,0,61,"1,218","1,688",49,0,137,0,0,"3,159",
NM,270,0,0,41,0,132,11,141,0,0,595,
NV,0,0,0,0,0,0,0,0,0,0,0,
NY,458,1,49,"2,025","5,327",46,0,256,0,0,"8,162",
OH,143,0,0,"1,299",15,239,0,538,0,0,"2,234",
OK,0,0,0,0,0,0,0,392,0,38,430,
OR,51,0,0,0,0,0,0,0,0,0,51,
PA,307,6,12,256,50,31,"1,656",457,0,0,"2,775",
PR,0,0,0,0,0,25,0,0,0,0,25,
RI,0,0,0,0,0,0,0,0,0,0,0,
SC,5,0,0,0,52,0,0,0,0,0,57,
SD,0,0,0,0,0,0,0,0,0,0,0,
TN,527,0,0,18,0,0,69,0,0,0,614,
TX,269,0,0,"1,016",696,103,35,124,0,15,"2,258",
UT,0,0,0,259,"2,097",0,0,0,0,0,"2,356",
VA,0,0,0,0,63,8,0,1,0,0,72,
VT,3,0,0,36,0,0,0,0,0,0,39,
WA,17,0,0,26,0,0,0,0,0,0,43,
WI,323,0,0,8,0,0,0,474,0,0,805,
WV,0,0,0,0,0,0,0,70,0,0,70,
WY,0,0,0,0,0,0,0,0,0,0,0,
"REPORTTOTAL","4,614",150,483,"25,139","46,416","1,293","2,169","5,169",324,247,"86,004",
"","ALL OTHERCOVEREDSPECIE",CATS,DOGS,"GUINEAPIGS",HAMSTERS,"NONHUMANPRIMATES",PIG,RABBITS,SHEEP,"OTHERFARMANIMALS",Total,
AK,419,0,0,0,42,0,0,0,0,0,461,
AL,"1,077",157,"1,156",203,42,223,777,770,49,497,"4,951",
AR,16,123,417,168,2,110,865,"1,086",0,298,"3,085",
AZ,"3,954",90,335,60,107,34,495,180,40,33,"5,328",
CA,"24,942","1,251","2,926","13,180","4,317","4,193","4,513","31,867","2,208","11,798","101,195",
CO,"1,664",366,697,"2,466","1,020",0,579,449,607,228,"8,076",
CT,787,0,388,187,981,272,463,733,28,0,"3,839",
DC,"1,800",7,12,272,490,229,677,154,53,0,"3,694",
DE,28,0,0,10,0,0,10,"8,702",26,408,"9,184",
FL,"2,552",517,"1,135",283,360,495,"1,518",454,215,228,"7,757",
GA,"6,699",663,"2,567","1,309","10,220","2,873","1,097","3,161",105,618,"29,312",
HI,6,13,51,0,0,0,101,8,0,0,179,
IA,"4,129",564,"1,119","1,487","18,513",23,"1,312","2,754",605,713,"31,219",
ID,167,46,119,36,0,0,2,49,72,83,574,
IL,"5,460","1,110","3,538","2,124","2,088",619,"1,548","2,725",595,631,"20,438",
IN,"3,619",530,"1,129",119,974,119,759,803,194,106,"8,352",
KS,"1,283",675,"1,687","1,219",92,199,362,188,64,312,"6,081",
KY,391,98,302,31,174,107,437,143,31,27,"1,741",
LA,881,103,447,7,72,"2,869",38,476,0,225,"5,118",
MA,"8,597",57,"1,319","20,845","6,562","6,013","6,950","16,657",512,"1,058","68,570",
MD,"23,048",6,934,"13,421","4,051","7,757","2,032","3,887",330,559,"56,025",
ME,"1,199",376,52,0,0,0,15,123,4,102,"1,871",
MI,"4,495",358,"4,730","17,829","1,185","3,673","2,467","6,329",790,421,"42,277",
MN,"3,333","3,495","4,087","28,058",498,203,"3,259","8,929","1,262","1,446","54,570",
MO,"1,142","1,862","2,882","7,970","28,243",164,"1,821","4,743",138,114,"49,079",
MS,53,20,150,301,16,63,219,511,25,8,"1,366",
MT,115,0,0,38,271,4,0,32,31,55,546,
NC,"1,976","1,074","2,141","9,366",920,"1,718","1,842","2,619",197,"4,507","26,360",
ND,107,139,94,1,3,0,27,0,165,201,737,
NE,"2,292",103,118,17,"1,272",89,178,175,10,280,"4,534",
NH,659,0,2,0,902,6,96,1,0,0,"1,666",
NJ,503,330,"4,140","13,965","11,274","4,884",792,"8,964",21,0,"44,873",
NM,438,40,419,164,43,773,48,398,0,0,"2,323",
NV,"1,582",26,465,61,0,0,96,30,30,356,"2,646",
NY,"8,812","1,778","3,569","11,224","28,396","2,024","1,298","7,021",368,490,"64,980",
OH,"3,596","2,178","6,169","31,057","1,946","1,990","3,025","14,049",194,263,"64,467",
OK,"1,630",171,745,662,8,95,25,507,57,558,"4,458",
OR,"1,551",241,648,595,25,"3,354",440,277,445,"1,366","8,942",
PA,"2,674","1,739","3,393","3,319",953,"1,716","3,747","21,074",665,"1,498","40,778",
PR,30,0,0,0,70,"4,135",26,23,0,0,"4,284",
RI,169,0,0,0,348,40,91,652,47,0,"1,347",
SC,"2,473",241,305,310,72,144,323,240,4,73,"4,185",
SD,608,13,27,6,24,5,0,5,79,157,924,
TN,"2,159",128,574,156,660,285,"1,779",522,21,165,"6,449",
TX,"10,866",416,"1,748","12,003","3,586","3,492","3,370","15,298",561,"5,406","56,746",
UT,"1,083",515,781,"1,995","2,397",1,193,"1,566",394,192,"9,117",
VA,"1,835",54,234,136,339,101,"4,175",480,86,271,"7,711",
VT,195,9,9,176,0,0,34,4,"1,572",5,"2,004",
WA,"15,185",429,884,"3,809",96,"2,079","1,779","1,080",11,358,"25,710",
WI,"4,565",334,"5,521","3,553","3,650","7,350",777,"15,749",210,398,"42,107",
WV,10,56,40,9,8,0,0,112,73,0,308,
WY,122,30,42,4,2,0,0,7,69,35,311,
"REPORTTOTAL","166,976","22,531","64,247","204,211","137,314","64,523","56,477","186,766","13,263","36,547","952,855",
